type,title,release_year,date_added,rating,duration
Movie,Sankofa,1993,2021-09-24,TV-MA,125 min
TV Show,The Great British Baking Show,2021,2021-09-24,TV-14,9 Seasons
Movie,The Starling,2021,2021-09-24,PG-13,104 min
Movie,Je Suis Karl,2021,2021-09-23,TV-MA,127 min
Movie,Jeans,1998,2021-09-21,TV-14,166 min
Movie,Grown Ups,2010,2021-09-20,PG-13,103 min
Movie,Dark Skies,2013,2021-09-19,PG-13,97 min
Movie,Paranoia,2013,2021-09-19,PG-13,106 min
Movie,Birth of the Dragon,2017,2021-09-16,PG-13,96 min
Movie,Jaws,1975,2021-09-16,PG,124 min
Movie,Jaws 2,1978,2021-09-16,PG,116 min
Movie,Jaws 3,1983,2021-09-16,PG,98 min
Movie,Jaws: The Revenge,1987,2021-09-16,PG-13,91 min
Movie,Safe House,2012,2021-09-16,R,115 min
Movie,Training Day,2001,2021-09-16,R,122 min
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,2021-09-15,TV-14,99 min
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,2021-09-15,TV-14,99 min
Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,2021-09-15,TV-PG,88 min
Movie,InuYasha the Movie: Affections Touching Across Time,2001,2021-09-15,TV-PG,100 min
Movie,Naruto Shippuden the Movie: Blood Prison,2011,2021-09-15,TV-14,102 min
Movie,Naruto ShippÃ»den the Movie: Bonds,2008,2021-09-15,TV-PG,93 min
Movie,Naruto ShippÃ»den the Movie: The Will of Fire,2009,2021-09-15,TV-PG,96 min
Movie,Naruto Shippuden: The Movie,2007,2021-09-15,TV-PG,95 min
Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,2021-09-15,TV-14,85 min
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,2021-09-15,TV-PG,97 min
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,2021-09-15,TV-PG,95 min
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,2021-09-15,TV-PG,83 min
Movie,King of Boys,2018,2021-09-14,TV-MA,182 min
Movie,Kate,2021,2021-09-10,R,106 min
Movie,Omo Ghetto: the Saga,2020,2021-09-10,TV-MA,147 min
Movie,Paradise Hills,2019,2021-09-09,TV-MA,95 min
Movie,Show Dogs,2018,2021-09-08,PG,90 min
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,2021-09-07,TV-MA,97 min
Movie,Angamaly Diaries,2017,2021-09-05,TV-14,128 min
Movie,A Champion Heart,2018,2021-09-04,G,90 min
