('Afghanistan', 8.3, 0.534, 60.4, 23.87384987),
('Angola', 12.4, 0.5, 52.3, 60.74480057),
('Albania', 63.3, 0.273, 77.8, 96.76969147),
('Argentina', 69.4, 0.381, 76.2, 98.13478088),
('Armenia', 58.2, 0.552, 74.7, 99.73046875),
('Azerbaijan', 77.0, 0.45, 70.8, 99.73451996),
('Burundi', 4.9, 0.557, 56.7, 82.91288757),
('Benin', 6.8, 0.158, 59.5, 27.28825951),
('Burkina Faso', 11.4, 0.507, 58.6, 28.34884071),
('Bangladesh', 14.4, 0.319, 71.6, 58.31364059),
('Bulgaria', 56.7, 0.231, 75.4, 98.06880951),
('Belarus', 62.2, 0.263, 73.0, 99.66835022),
('Brazil', 59.1, 0.118, 74.4, 92.86592102),
('Central African Republic', 4.6, 0.405, 50.7, 24.35548973),
('Chile', 64.3, 0.405, 81.5, 96.50222015),
('China', 50.3, 0.031, 75.8, 94.47138977),
("Cote d'Ivoire", 21.0, 0.395, 51.6, 32.72970963),
('Cameroon', 20.7, 0.241, 55.5, 68.88101196),
('Congo, Rep.', 7.6, 0.625, 62.3, 72.87705994),
('Colombia', 55.9, 0.265, 74.0, 94.67140198),
('Dominican Republic', 51.9, 0.354, 73.5, 92.96755219),
('Ecuador', 48.9, 0.263, 75.9, 93.59758759),
('Egypt, Arab Rep.', 35.9, 0.476, 71.1, 68.05779266),
('Spain', 78.7, 0.168, 83.1, 97.4969635),
('Estonia', 88.4, 0.441, 77.2, 99.80470276),
('Ethiopia', 11.6, 0.1669999999999999, 64.0, 40.96794128),
('Gabon', 23.5, 0.47, 64.4, 81.1102066),
('Georgia', 45.2, 0.581, 74.7, 99.73381805),
('Ghana', 23.5, 0.175, 61.3, 71.35002136),
('Guinea', 4.7, 0.413, 58.7, 22.87104034),
('Greece', 66.8, 0.361, 81.3, 93.65438843),
('Guatemala', 27.1, 0.346, 71.7, 73.91976929),
('Honduras', 20.4, 0.254, 73.1, 88.52593994),
('Croatia', 69.8, 0.276, 77.3, 98.92350769),
('Haiti', 12.2, 0.3879999999999999, 62.7, 57.17098999),
('Indonesia', 22.0, 0.075, 68.9, 93.81723785),
('Iraq', 17.2, 0.263, 69.4, 73.83075714),
('Italy', 65.6, 0.089, 82.7, 98.7915802),
('Jamaica', 43.2, 0.3929999999999999, 75.7, 93.01059723),
('Jordan', 53.4, 0.182, 74.1, 97.4907074),
('Kazakhstan', 72.9, 0.163, 71.6, 99.77313995),
('Kenya', 45.6, 0.332, 61.6, 74.969841),
('Cambodia', 19.0, 0.536, 68.2, 72.29683685),
('Lao PDR', 18.2, 0.379, 66.1, 72.82441711),
('Lebanon', 74.0, 0.433, 79.4, 92.03942108),
('Liberia', 5.9, 0.565, 60.8, 32.81483078),
('Libya', 19.0, 0.228, 71.7, 85.81128693),
('Sri Lanka', 30.0, 0.184, 74.8, 91.70864868),
('Lithuania', 71.4, 0.267, 74.0, 99.84133148),
('Latvia', 79.2, 0.466, 74.2, 99.90770721),
('Macao SAR, China', 77.6, 0.995, 80.6, 94.59892273),
('Moldova', 49.8, 0.4539999999999999, 71.5, 99.10359192),
('Madagascar', 4.2, 0.307, 65.1, 62.6137886),
('Mexico', 57.4, 0.209, 76.7, 93.5134201),
('Macedonia, FYR', 70.4, 0.424, 75.3, 96.87072754),
('Mali', 10.3, 0.358, 58.0, 22.1957798),
('Mongolia', 21.4, 0.6459999999999999, 69.5, 98.55175781),
('Mozambique', 9.0, 0.132, 55.0, 45.52547073),
('Malawi', 9.3, 0.3229999999999999, 62.7, 59.03110886),
('Malaysia', 71.1, 0.302, 74.7, 93.1064682),
('Namibia', 22.3, 0.321, 64.7, 90.64672089),
('Niger', 2.2, 0.292, 61.5, 11.01572037),
('Nicaragua', 19.7, 0.267, 74.8, 82.64549255),
('Nepal', 17.6, 0.223, 69.6, 54.7505188),
('Pakistan', 18.0, 0.2269999999999999, 66.2, 42.72716904),
('Peru', 40.9, 0.401, 74.5, 91.54062653),
('Philippines', 40.7, 0.29, 68.3, 97.03275299),
('Poland', 68.0, 0.075, 77.3, 99.66921234),
('Portugal', 68.6, 0.439, 80.7, 94.13273621),
('Paraguay', 44.4, 0.595, 72.9, 94.95807648),
('Qatar', 92.9, 0.324, 78.6, 97.51200867),
('Romania', 55.8, 0.173, 75.1, 98.45471191),
('Russian Federation', 73.4, 0.114, 70.4, 99.7129364),
('Rwanda', 18.0, 0.376, 64.0, 68.26931763),
('Saudi Arabia', 69.6, 0.243, 74.3, 91.84068298),
('Sudan', 26.6, 0.377, 63.5, 53.12355042),
('Senegal', 21.7, 0.532, 66.4, 43.80036163),
('Singapore', 82.1, 1.0, 82.6, 94.98401642),
('Sierra Leone', 2.5, 0.391, 50.9, 38.18144989),
('El Salvador', 26.9, 0.2689999999999999, 72.8, 85.60791779),
('South Sudan', 17.9, 0.138, 55.7, 25.39306068),
('Chad', 2.7, 0.3989999999999999, 51.6, 31.75429916),
('Togo', 7.1, 0.3279999999999999, 59.7, 55.30268097),
('Turkey', 53.7, 0.245, 75.2, 92.90122223),
('Tanzania', 5.4, 0.303, 64.9, 76.08978271),
('Uganda', 19.2, 0.308, 58.5, 66.78479767),
('Ukraine', 49.3, 0.093, 71.2, 99.73970795),
('Uruguay', 64.6, 0.522, 77.0, 98.8039093),
('Uzbekistan', 42.8, 0.198, 68.3, 99.99582672),
('Vietnam', 52.7, 0.237, 75.6, 92.84365845),
('South Africa', 51.9, 0.264, 57.2, 93.42893219),
('Congo, Dem. Rep.', 3.8, 0.353, 58.7, 65.8973465),
('Zimbabwe', 16.4, 0.297, 57.5, 85.28513336),
