Country Name,Region Code,Country Code,"GDP, PPP (current international $)"," Population, total ",Population CGR 1960-2015,Internet users (per 100 people),Popltn Largest City % of Urban Pop,"2014 Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)",Exports of goods and services (% of GDP)
Afghanistan,ME,AFG," 62,912,669,167 "," 32,526,562 ",2.36%,8.3,53.4%,60.4,23.87384987,0.073278412
Angola,AF,AGO," 184,437,662,368 "," 25,021,974 ",2.87%,12.4,50.0%,52.3,60.74480057,0.373074223
Albania,EU,ALB," 32,663,238,936 "," 2,889,167 ",1.07%,63.3,27.3%,77.8,96.76969147,0.271049845
Argentina,SA,ARG," 882,358,844,160 "," 43,416,755 ",1.36%,69.4,38.1%,76.2,98.13478088,0.11057819
Armenia,RU,ARM," 25,329,201,238 "," 3,017,712 ",0.88%,58.2,55.2%,74.7,99.73046875,0.297333847
Azerbaijan,RU,AZE," 171,214,494,402 "," 9,651,349 ",1.66%,77.0,45.0%,70.8,99.73451996,0.378141783
Burundi,AF,BDI," 8,227,818,146 "," 11,178,921 ",2.56%,4.9,55.7%,56.7,82.91288757,0.071030216
Benin,AF,BEN," 22,954,763,233 "," 10,879,829 ",2.76%,6.8,15.8%,59.5,27.28825951,0.268830288
Burkina Faso,AF,BFA," 30,041,128,246 "," 18,105,570 ",2.43%,11.4,50.7%,58.6,28.34884071,0.33420275
Bangladesh,SS,BGD," 536,566,830,315 "," 160,995,642 ",2.22%,14.4,31.9%,71.6,58.31364059,0.173366749
Bulgaria,EU,BGR," 125,699,285,209 "," 7,177,991 ",-0.17%,56.7,23.1%,75.4,98.06880951,0.664649835
Belarus,EU,BLR," 168,008,584,870 "," 9,513,000 ",0.27%,62.2,26.3%,73.0,99.66835022,0.600651235
Brazil,SA,BRA," 3,192,398,002,509 "," 207,847,528 ",1.93%,59.1,11.8%,74.4,92.86592102,0.130426948
Central African Republic,AF,CAF," 2,927,262,911 "," 4,900,274 ",2.17%,4.6,40.5%,50.7,24.35548973,0.091891363
Chile,SA,CHL," 400,534,442,322 "," 17,948,141 ",1.55%,64.3,40.5%,81.5,96.50222015,0.300525994
China,EA,CHN," 19,524,348,171,415 "," 1,371,220,000 ",1.32%,50.3,3.1%,75.8,94.47138977,0.223740509
Cote d'Ivoire,AF,CIV," 79,360,774,756 "," 22,701,556 ",3.47%,21.0,39.5%,51.6,32.72970963,0.454029206
Cameroon,AF,CMR," 72,895,559,665 "," 23,344,179 ",2.71%,20.7,24.1%,55.5,68.88101196,0.169574465
"Congo, Rep.",AF,COG," 29,422,821,815 "," 4,620,330 ",2.80%,7.6,62.5%,62.3,72.87705994,0.692755606
Colombia,SA,COL," 665,594,053,125 "," 48,228,704 ",1.97%,55.9,26.5%,74.0,94.67140198,0.147146341
Dominican Republic,MA,DOM," 149,626,592,866 "," 10,528,391 ",2.14%,51.9,35.4%,73.5,92.96755219,0.246369597
Ecuador,SA,ECU," 183,854,538,952 "," 16,144,363 ",2.33%,48.9,26.3%,75.9,93.59758759,0.210701765
"Egypt, Arab Rep.",ME,EGY," 996,638,129,040 "," 91,508,084 ",2.24%,35.9,47.6%,71.1,68.05779266,0.132068483
Spain,EU,ESP," 1,602,660,452,817 "," 46,418,269 ",0.77%,78.7,16.8%,83.1,97.4969635,0.331478279
Estonia,EU,EST," 36,860,327,909 "," 1,311,998 ",0.14%,88.4,44.1%,77.2,99.80470276,0.797609686
Ethiopia,AF,ETH," 161,570,921,285 "," 99,390,750 ",2.77%,11.6,16.7%,64.0,40.96794128,0.09827312
Gabon,AF,GAB," 34,523,334,038 "," 1,725,292 ",2.28%,23.5,47.0%,64.4,81.1102066,0.45881116
Georgia,RU,GEO," 35,609,731,219 "," 3,679,000 ",0.02%,45.2,58.1%,74.7,99.73381805,0.450420612
Ghana,AF,GHA," 115,136,546,616 "," 27,409,893 ",2.61%,23.5,17.5%,61.3,71.35002136,0.440565405
Guinea,AF,GIN," 15,212,635,899 "," 12,608,590 ",2.32%,4.7,41.3%,58.7,22.87104034,0.26809181
Greece,EU,GRC," 288,778,094,737 "," 10,823,732 ",0.48%,66.8,36.1%,81.3,93.65438843,0.301149643
Guatemala,MA,GTM," 125,950,437,098 "," 16,342,897 ",2.53%,27.1,34.6%,71.7,73.91976929,0.212899626
Honduras,MA,HND," 41,057,404,059 "," 8,075,060 ",2.57%,20.4,25.4%,73.1,88.52593994,0.450845755
Croatia,EU,HRV," 92,432,005,034 "," 4,224,404 ",0.04%,69.8,27.6%,77.3,98.92350769,0.493783752
Haiti,MA,HTI," 18,874,759,925 "," 10,711,067 ",1.87%,12.2,38.8%,62.7,57.17098999,0.198492567
Indonesia,SE,IDN," 2,842,240,508,777 "," 257,563,815 ",1.98%,22.0,7.5%,68.9,93.81723785,0.210919758
Iraq,ME,IRQ," 542,519,589,883 "," 36,423,395 ",2.97%,17.2,26.3%,69.4,73.83075714,0.284953475
Italy,EU,ITA," 2,182,579,699,550 "," 60,802,085 ",0.35%,65.6,8.9%,82.7,98.7915802,0.302409106
Jamaica,MA,JAM," 24,703,884,112 "," 2,725,941 ",0.94%,43.2,39.3%,75.7,93.01059723,0.301252316
Jordan,ME,JOR," 82,631,102,215 "," 7,594,547 ",3.98%,53.4,18.2%,74.1,97.4907074,0.378244527
Kazakhstan,ME,KAZ," 453,980,728,694 "," 17,544,126 ",1.08%,72.9,16.3%,71.6,99.77313995,0.286257534
Kenya,AF,KEN," 141,950,884,423 "," 46,050,302 ",3.21%,45.6,33.2%,61.6,74.969841,0.157690201
Cambodia,SE,KHM," 54,262,911,722 "," 15,577,899 ",1.84%,19.0,53.6%,68.2,72.29683685,0.676158083
Lao PDR,SE,LAO," 38,604,831,855 "," 6,802,023 ",2.14%,18.2,37.9%,66.1,72.82441711,0.348485819
Lebanon,ME,LBN," 81,547,339,207 "," 5,850,743 ",2.16%,74.0,43.3%,79.4,92.03942108,0.569415899
Liberia,AF,LBR," 3,765,554,194 "," 4,503,438 ",2.56%,5.9,56.5%,60.8,32.81483078,0.234778373
Libya,ME,LBY," 88,866,632,895 "," 6,278,438 ",2.72%,19.0,22.8%,71.7,85.81128693,0.289502586
Sri Lanka,SS,LKA," 246,117,281,533 "," 20,966,000 ",1.37%,30.0,18.4%,74.8,91.70864868,0.205256
