"country_ID","country_name","country_code","region_code"
1,"Afghanistan","AFG","ME"
2,"Angola","AGO","AF"
3,"Albania","ALB","EU"
4,"Argentina","ARG","SA"
5,"Armenia","ARM","RU"
6,"Azerbaijan","AZE","RU"
7,"Burundi","BDI","AF"
8,"Benin","BEN","AF"
9,"Burkina Faso","BFA","AF"
10,"Bangladesh","BGD","SS"
11,"Bulgaria","BGR","EU"
12,"Belarus","BLR","EU"
13,"Brazil","BRA","SA"
14,"Central African Republic","CAF","AF"
15,"Chile","CHL","SA"
16,"China","CHN","EA"
17,"Cote d'Ivoire","CIV","AF"
18,"Cameroon","CMR","AF"
19,"Congo, Rep.","COG","AF"
20,"Colombia","COL","SA"
21,"Dominican Republic","DOM","MA"
22,"Ecuador","ECU","SA"
23,"Egypt, Arab Rep.","EGY","ME"
24,"Spain","ESP","EU"
25,"Estonia","EST","EU"
26,"Ethiopia","ETH","AF"
27,"Gabon","GAB","AF"
28,"Georgia","GEO","RU"
29,"Ghana","GHA","AF"
30,"Guinea","GIN","AF"
31,"Greece","GRC","EU"
32,"Guatemala","GTM","MA"
33,"Honduras","HND","MA"
34,"Croatia","HRV","EU"
35,"Haiti","HTI","MA"
36,"Indonesia","IDN","SE"
37,"Iraq","IRQ","ME"
38,"Italy","ITA","EU"
39,"Jamaica","JAM","MA"
40,"Jordan","JOR","ME"
41,"Kazakhstan","KAZ","ME"
42,"Kenya","KEN","AF"
43,"Cambodia","KHM","SE"
44,"Lao PDR","LAO","SE"
45,"Lebanon","LBN","ME"
46,"Liberia","LBR","AF"
47,"Libya","LBY","ME"
48,"Sri Lanka","LKA","SS"
49,"Lithuania","LTU","EU"
50,"Latvia","LVA","EU"
51,"Macao SAR, China","MAC","EA"
52,"Moldova","MDA","EU"
53,"Madagascar","MDG","AF"
54,"Mexico","MEX","MA"
55,"Macedonia, FYR","MKD","EU"
56,"Mali","MLI","AF"
57,"Mongolia","MNG","EA"
58,"Mozambique","MOZ","AF"
59,"Malawi","MWI","AF"
60,"Malaysia","MYS","SE"
61,"Namibia","NAM","AF"
62,"Niger","NER","AF"
63,"Nicaragua","NIC","MA"
64,"Nepal","NPL","SS"
65,"Pakistan","PAK","SS"
66,"Peru","PER","SA"
67,"Philippines","PHL","SE"
68,"Poland","POL","EU"
69,"Portugal","PRT","EU"
70,"Paraguay","PRY","SA"
71,"Qatar","QAT","ME"
72,"Romania","ROU","EU"
73,"Russian Federation","RUS","RU"
74,"Rwanda","RWA","AF"
75,"Saudi Arabia","SAU","ME"
76,"Sudan","SDN","AF"
77,"Senegal","SEN","AF"
78,"Singapore","SGP","SE"
79,"Sierra Leone","SLE","AF"
80,"El Salvador","SLV","MA"
81,"South Sudan","SSD","AF"
82,"Chad","TCD","AF"
83,"Togo","TGO","AF"
84,"Turkey","TUR","ME"
85,"Tanzania","TZA","AF"
86,"Uganda","UGA","AF"
87,"Ukraine","UKR","EU"
88,"Uruguay","URY","SA"
89,"Uzbekistan","UZB","ME"
90,"Vietnam","VNM","SE"
91,"South Africa","ZAF","AF"
92,"Congo, Dem. Rep.","COD","AF"
93,"Zimbabwe","ZWE","AF"
