"economic_ID","country_name","gross_domestic_product","exports_goods_and_services"
1,"Afghanistan",62912669167,0.073278412
2,"Angola",184437662368,0.373074223
3,"Albania",32663238936,0.271049845
4,"Argentina",882358844160,0.11057819
5,"Armenia",25329201238,0.297333847
6,"Azerbaijan",171214494402,0.378141783
7,"Burundi",8227818146,0.071030216
8,"Benin",22954763233,0.268830288
9,"Burkina Faso",30041128246,0.33420275
10,"Bangladesh",536566830315,0.173366749
11,"Bulgaria",125699285209,0.664649835
12,"Belarus",168008584870,0.600651235
13,"Brazil",3192398002509,0.130426948
14,"Central African Republic",2927262911,0.091891363
15,"Chile",400534442322,0.300525994
16,"China",19524348171415,0.223740509
17,"Cote d'Ivoire",79360774756,0.454029206
18,"Cameroon",72895559665,0.169574465
19,"Congo, Rep.",29422821815,0.692755606
20,"Colombia",665594053125,0.147146341
21,"Dominican Republic",149626592866,0.246369597
22,"Ecuador",183854538952,0.210701765
23,"Egypt, Arab Rep.",996638129040,0.132068483
24,"Spain",1602660452817,0.331478279
25,"Estonia",36860327909,0.797609686
26,"Ethiopia",161570921285,0.09827312
27,"Gabon",34523334038,0.45881116
28,"Georgia",35609731219,0.450420612
29,"Ghana",115136546616,0.440565405
30,"Guinea",15212635899,0.26809181
31,"Greece",288778094737,0.301149643
32,"Guatemala",125950437098,0.212899626
33,"Honduras",41057404059,0.450845755
34,"Croatia",92432005034,0.493783752
35,"Haiti",18874759925,0.198492567
36,"Indonesia",2842240508777,0.210919758
37,"Iraq",542519589883,0.284953475
38,"Italy",2182579699550,0.302409106
39,"Jamaica",24703884112,0.301252316
40,"Jordan",82631102215,0.378244527
41,"Kazakhstan",453980728694,0.286257534
42,"Kenya",141950884423,0.157690201
43,"Cambodia",54262911722,0.676158083
44,"Lao PDR",38604831855,0.348485819
45,"Lebanon",81547339207,0.569415899
46,"Liberia",3765554194,0.234778373
47,"Libya",88866632895,0.289502586
48,"Sri Lanka",246117281533,0.205256
49,"Lithuania",80699093694,0.772915619
50,"Latvia",48048688556,0.587598502
51,"Macao SAR, China",65382963804,0.777875049
52,"Moldova",17907592058,0.434294975
53,"Madagascar",35365948356,0.331825311
54,"Mexico",2194431313648,0.35335622
55,"Macedonia, FYR",28906996529,0.485253088
56,"Mali",42737160309,0.218056056
57,"Mongolia",36067684621,0.449369833
58,"Mozambique",33176597932,0.26163924
59,"Malawi",20359121923,0.281110942
60,"Malaysia",815644552977,0.710031654
61,"Namibia",25606197768,0.439047592
62,"Niger",18974643520,0.171769086
63,"Nicaragua",31564122172,0.375207427
64,"Nepal",70090459205,0.116520236
65,"Pakistan",952505420987,0.10946127
66,"Peru",389146724478,0.210291087
67,"Philippines",741029139381,0.27935343
68,"Poland",993129043249,0.493617911
69,"Portugal",302328671399,0.403356159
70,"Paraguay",60976954890,0.418618246
71,"Qatar",321417765757,0.553665249
72,"Romania",424474231139,0.410936485
73,"Russian Federation",3579826387385,0.295318405
74,"Rwanda",20418305189,0.144252184
75,"Saudi Arabia",1685203505624,0.33749789
76,"Sudan",167908849209,0.069071088
77,"Senegal",36776220601,0.277944361
78,"Singapore",471630937869,1.764949634
79,"Sierra Leone",10264448142,0.198052722
80,"El Salvador",52701274341,0.259587934
81,"South Sudan",22829044891,0.097769917
82,"Chad",30480978104,0.298325271
83,"Togo",10663199059,0.458162067
84,"Turkey",1543283930048,0.279618162
85,"Tanzania",138461029364,0.207828762
86,"Uganda",71246084679,0.174879586
87,"Ukraine",339154695998,0.527690408
88,"Uruguay",72750983105,0.223019146
89,"Uzbekistan",187667827321,0.206652496
90,"Vietnam",552297374128,0.897792486
91,"South Africa",723515991686,0.308972318
92,"Congo, Dem. Rep.",60482256092,0.294904393
93,"Zimbabwe",27984877195,0.262450276
