Country Name,Region Code,Country Code,"GDP, PPP (current international $)"," Population, total ",Population CGR 1960-2015,Internet users (per 100 people),Popltn Largest City % of Urban Pop,"2014 Life expectancy at birth, total (years)","Literacy rate, adult female (% of females ages 15 and above)",Exports of goods and services (% of GDP)
Afghanistan,ME,AFG,62912669167.0,32526562.0,0.0236,8.3,0.534,60.4,23.87384987,0.073278412
Angola,AF,AGO,184437662368.0,25021974.0,0.0287,12.4,0.5,52.3,60.74480057,0.373074223
Albania,EU,ALB,32663238936.0,2889167.0,0.010700000000000001,63.3,0.273,77.8,96.76969147,0.271049845
Argentina,SA,ARG,882358844160.0,43416755.0,0.013600000000000001,69.4,0.381,76.2,98.13478088,0.11057819
Armenia,RU,ARM,25329201238.0,3017712.0,0.0088,58.2,0.552,74.7,99.73046875,0.297333847
Azerbaijan,RU,AZE,171214494402.0,9651349.0,0.0166,77.0,0.45,70.8,99.73451996,0.378141783
Burundi,AF,BDI,8227818146.0,11178921.0,0.0256,4.9,0.557,56.7,82.91288757,0.071030216
Benin,AF,BEN,22954763233.0,10879829.0,0.0276,6.8,0.158,59.5,27.28825951,0.268830288
Burkina Faso,AF,BFA,30041128246.0,18105570.0,0.024300000000000002,11.4,0.507,58.6,28.34884071,0.33420275
Bangladesh,SS,BGD,536566830315.0,160995642.0,0.0222,14.4,0.319,71.6,58.31364059,0.173366749
Bulgaria,EU,BGR,125699285209.0,7177991.0,-0.0017000000000000001,56.7,0.231,75.4,98.06880951,0.664649835
Belarus,EU,BLR,168008584870.0,9513000.0,0.0027,62.2,0.263,73.0,99.66835022,0.600651235
Brazil,SA,BRA,3192398002509.0,207847528.0,0.019299999999999998,59.1,0.11800000000000001,74.4,92.86592102,0.130426948
Central African Republic,AF,CAF,2927262911.0,4900274.0,0.0217,4.6,0.405,50.7,24.35548973,0.091891363
Chile,SA,CHL,400534442322.0,17948141.0,0.0155,64.3,0.405,81.5,96.50222015,0.300525994
China,EA,CHN,19524348171415.0,1371220000.0,0.0132,50.3,0.031,75.8,94.47138977,0.223740509
Cote d'Ivoire,AF,CIV,79360774756.0,22701556.0,0.0347,21.0,0.395,51.6,32.72970963,0.454029206
Cameroon,AF,CMR,72895559665.0,23344179.0,0.0271,20.7,0.24100000000000002,55.5,68.88101196,0.169574465
"Congo, Rep.",AF,COG,29422821815.0,4620330.0,0.027999999999999997,7.6,0.625,62.3,72.87705994,0.692755606
Colombia,SA,COL,665594053125.0,48228704.0,0.0197,55.9,0.265,74.0,94.67140198,0.147146341
Dominican Republic,MA,DOM,149626592866.0,10528391.0,0.021400000000000002,51.9,0.354,73.5,92.96755219,0.246369597
Ecuador,SA,ECU,183854538952.0,16144363.0,0.0233,48.9,0.263,75.9,93.59758759,0.210701765
"Egypt, Arab Rep.",ME,EGY,996638129040.0,91508084.0,0.022400000000000003,35.9,0.47600000000000003,71.1,68.05779266,0.132068483
Spain,EU,ESP,1602660452817.0,46418269.0,0.0077,78.7,0.168,83.1,97.4969635,0.331478279
Estonia,EU,EST,36860327909.0,1311998.0,0.0014000000000000002,88.4,0.441,77.2,99.80470276,0.797609686
Ethiopia,AF,ETH,161570921285.0,99390750.0,0.0277,11.6,0.16699999999999998,64.0,40.96794128,0.09827312
Gabon,AF,GAB,34523334038.0,1725292.0,0.022799999999999997,23.5,0.47,64.4,81.1102066,0.45881116
Georgia,RU,GEO,35609731219.0,3679000.0,0.0002,45.2,0.581,74.7,99.73381805,0.450420612
Ghana,AF,GHA,115136546616.0,27409893.0,0.026099999999999998,23.5,0.175,61.3,71.35002136,0.440565405
Guinea,AF,GIN,15212635899.0,12608590.0,0.0232,4.7,0.413,58.7,22.87104034,0.26809181
Greece,EU,GRC,288778094737.0,10823732.0,0.0048,66.8,0.361,81.3,93.65438843,0.301149643
Guatemala,MA,GTM,125950437098.0,16342897.0,0.0253,27.1,0.34600000000000003,71.7,73.91976929,0.212899626
Honduras,MA,HND,41057404059.0,8075060.0,0.025699999999999997,20.4,0.254,73.1,88.52593994,0.450845755
Croatia,EU,HRV,92432005034.0,4224404.0,0.0004,69.8,0.276,77.3,98.92350769,0.493783752
Haiti,MA,HTI,18874759925.0,10711067.0,0.0187,12.2,0.38799999999999996,62.7,57.17098999,0.198492567
Indonesia,SE,IDN,2842240508777.0,257563815.0,0.019799999999999998,22.0,0.075,68.9,93.81723785,0.210919758
Iraq,ME,IRQ,542519589883.0,36423395.0,0.0297,17.2,0.263,69.4,73.83075714,0.284953475
Italy,EU,ITA,2182579699550.0,60802085.0,0.0034999999999999996,65.6,0.08900000000000001,82.7,98.7915802,0.302409106
Jamaica,MA,JAM,24703884112.0,2725941.0,0.009399999999999999,43.2,0.39299999999999996,75.7,93.01059723,0.301252316
Jordan,ME,JOR,82631102215.0,7594547.0,0.0398,53.4,0.182,74.1,97.4907074,0.378244527
Kazakhstan,ME,KAZ,453980728694.0,17544126.0,0.0108,72.9,0.163,71.6,99.77313995,0.286257534
Kenya,AF,KEN,141950884423.0,46050302.0,0.0321,45.6,0.332,61.6,74.969841,0.157690201
Cambodia,SE,KHM,54262911722.0,15577899.0,0.0184,19.0,0.536,68.2,72.29683685,0.676158083
Lao PDR,SE,LAO,38604831855.0,6802023.0,0.021400000000000002,18.2,0.379,66.1,72.82441711,0.348485819
Lebanon,ME,LBN,81547339207.0,5850743.0,0.0216,74.0,0.433,79.4,92.03942108,0.569415899
Liberia,AF,LBR,3765554194.0,4503438.0,0.0256,5.9,0.565,60.8,32.81483078,0.234778373
Libya,ME,LBY,88866632895.0,6278438.0,0.027200000000000002,19.0,0.228,71.7,85.81128693,0.289502586
Sri Lanka,SS,LKA,246117281533.0,20966000.0,0.0137,30.0,0.184,74.8,91.70864868,0.205256
